#,Game,Date,Price,Review,Owners,Playtime,Developer,Publisher,Month
40,Everhood,4-Mar-21,5.99,83,350000,00:00 (00:00),"Chris Nordgren, Jordi Roca","Foreign Gnomes, Surefire.Games",3
45,Circuit Superstars,12-Oct-21,11.99,82,350000,00:00 (00:00),Original Fire Games,Square Enix,10
47,The Life and Suffering of Sir Brante,4-Mar-21,7.99,82,350000,00:00 (00:00),Sever,101XP,3
48,Tainted Grail: Conquest,27-May-21,9.99,82,350000,00:00 (00:00),Questline,Awaken Realms,5
55,Cyber Shadow,26-Jan-21,13.99,82,350000,00:00 (00:00),Aarne "MekaSkull" Hunziker,Yacht Club Games,1
70,The Legend of Tianding,1-Nov-21,9.99,81,350000,00:00 (00:00),"Creative Games Computer Graphics Corporation, Neon Doctrine",Neon Doctrine,11
72,GRIME,2-Aug-21,16.24,81,350000,00:00 (00:00),Clover Bite,Akupara Games,8
73,F.I.S.T.: Forged In Shadow Torch,2-Oct-21,14.99,81,350000,00:00 (00:00),TiGames,bilibili,10
74,Tails of Iron,17-Sep-21,7.49,81,350000,00:00 (00:00),Odd Bug Studio,"United Label, CI Games",9
78,Dreamscaper,5-Aug-21,9.99,80,350000,00:00 (00:00),Afterburner Studios,"Freedom Games, Maple Whispering Limited",8
80,The Last Campfire,7-Oct-21,2.99,80,350000,00:00 (00:00),Hello Games,Hello Games,10
82,Ruined King: A League of Legends Story,16-Nov-21,14.99,80,350000,00:00 (00:00),Airship Syndicate,Riot Forge,11
90,Golf Club Wasteland,3-Sep-21,2.99,79,350000,00:00 (00:00),Demagog Studio,Untold Tales,9
95,Super Robot Wars 30,27-Oct-21,29.99,79,350000,00:00 (00:00),"B.B.STUDIO CO.,LTD.",Bandai Namco Entertainment,10
98,Wytchwood,9-Dec-21,5.99,78,350000,00:00 (00:00),Alientrap,"Whitethorn Games, WhisperGames",12
100,Lost in Random,10-Sep-21,5.99,78,350000,00:00 (00:00),"Zoink, Thunderful",Electronic Arts,9
117,Genesis Noir,26-Mar-21,4.49,77,350000,00:00 (00:00),Feral Cat Den,Fellow Traveller,3
124,Chorus,3-Dec-21,11.99,76,350000,00:00 (00:00),Deep Silver Fishlabs,Deep Silver,12
125,Curious Expedition 2,28-Jan-21,8.99,76,350000,00:00 (00:00),Maschinen-Mensch,Thunderful Publishing,1
127,Sable,23-Sep-21,9.99,76,350000,00:00 (00:00),Shedworks,Raw Fury,9
128,Journey To The Savage Planet,28-Jan-21,8.99,76,350000,00:00 (00:00),Typhoon,505 Games,1
129,Twelve Minutes,19-Aug-21,12.49,76,350000,00:00 (00:00),Luis Antonio,Annapurna Interactive,8
130,Persona 5 Strikers,22-Feb-21,19.79,76,350000,00:00 (00:00),ATLUS,SEGA,2
146,Tormented Souls,26-Aug-21,10.99,75,350000,00:00 (00:00),"Dual Effect, Abstract Digital",PQube,8
147,Black Book,10-Aug-21,11.24,75,350000,00:00 (00:00),Morteshka,HypeTrain Digital,8
166,Idol Manager,26-Jul-21,11.99,73,350000,00:00 (00:00),Glitch Pitch,PLAYISM,7
167,MechWarrior 5: Mercenaries,26-May-21,14.99,73,350000,00:00 (00:00),Piranha Games Inc.,Fireshine Games,5
169,Turnip Boy Commits Tax Evasion,22-Apr-21,5.09,72,350000,00:00 (00:00),Snoozy Kazoo,Graffiti Games,4
184,Quantum League,15-Apr-21,9.99,70,350000,00:00 (00:00),Nimble Giant Entertainment,Nimble Giant Entertainment,4
205,INDUSTRIA,30-Sep-21,7.99,67,350000,00:00 (00:00),Bleakmill,Headup Publishing,9
209,BIOMUTANT,25-May-21,19.99,66,350000,00:00 (00:00),Experiment 101,THQ Nordic,5
210,Stronghold: Warlords,9-Mar-21,7.99,65,350000,00:00 (00:00),FireFly Studios,FireFly Studios,3
214,Retro Machina,12-May-21,6.79,64,350000,00:00 (00:00),Orbit Studio,SuperGG.com,5
216,Hammerting,16-Nov-21,4.99,64,350000,00:00 (00:00),Warpzone Studios,Team17 Digital,11
408,スピリットウィッシュ?三英雄と冒険の大地??,1-Apr-21,0,0,350000,00:00 (00:00),NEONSTUDIO Corp.,SUBETE,4
420,Giants,7-May-21,0,0,350000,00:00 (00:00),Singta inc.,Singta Inc.,5
475,Wonhon: Prologue,28-Feb-21,0,0,350000,00:00 (00:00),BUSAN SANAI GAMES,SuperGG.com,2
514,Monstrum 2 Beta,22-Jan-21,0,0,350000,00:00 (00:00),Team Junkfish,Junkfish Limited,1
564,Night in Riverager,2-Feb-21,0,0,350000,00:00 (00:00),Two Star Games,V Publishing,2
594,CODE2040,1-Feb-21,0,0,350000,00:00 (00:00),"WANIN Games, Team Weaver",WANIN Games,2
606,RAM Pressure,15-Sep-21,0,0,350000,00:00 (00:00),"QuadCom Interactive, GDT",GDT,9
614,M.A.R.S.,28-Oct-21,0,0,350000,00:00 (00:00),YingPei Games,SubaGames,10
618,Evil Inside - Prologue,4-Mar-21,0,0,350000,00:00 (00:00),JanduSoft,JanduSoft,3
625,Orqa FPV.SkyDive,31-May-21,0,0,350000,00:00 (00:00),"ORQA, INC.","ORQA, INC.",5
627,Farm Manager 2021: Prologue,14-Jan-21,0,0,350000,00:00 (00:00),Cleversan Games,"PlayWay S.A., Sim Farm S.A.",1
633,Dis The Game,18-Feb-21,0,0,350000,00:00 (00:00),Leaf,DisStream,2
635,Holodrive,16-Mar-21,0,0,350000,00:00 (00:00),BitCake Studio,Versus Evil,3
637,ANOTHER EDEN,30-Mar-21,0,0,350000,00:00 (00:00),"WFS, Inc.","WFS, Inc.",3
640,NGU INDUSTRIES,5-Apr-21,0,0,350000,00:00 (00:00),4G,4G,4
641,Rushdown Revolt - Alpha Testing,27-Jan-21,0,0,350000,00:00 (00:00),Vortex Games,Vortex Games,1
647,Animaze by FaceRig,17-Nov-21,0,0,350000,00:00 (00:00),Holotech Studios Inc.,Holotech Studios Inc.,11
648,Durka Simulator,1-Jan-21,0,0,350000,00:00 (00:00),Crucial Experiment,Kochurov-Tools,1
649,hexceed,15-Jan-21,0,0,350000,00:00 (00:00),ToastieLabs,ToastieLabs,1
650,The Perfect Tower II,26-Feb-21,0,0,350000,00:00 (00:00),Fire Sword Studios,Fire Sword Studios,2
651,ChilloutVR,8-Feb-21,0,0,350000,00:00 (00:00),Alpha Blend Interactive,Alpha Blend Interactive,2
652,BEACHED,4-Aug-21,0,0,350000,00:00 (00:00),Gradient Studios,Gradient Studios,8
653,The Tenants - Free Trial,9-Mar-21,0,0,350000,00:00 (00:00),Ancient Forge Studio,Frozen District,3
654,OMFG: One Million Fatal Guns,5-Jan-21,0,0,350000,00:00 (00:00),Gun Hit Wonders,DigiPen Institute of Technology,1
655,SCP: Escape Together,6-Jan-21,0,0,350000,00:00 (00:00),SCP: Escape Together development team,SCP: Escape Together development team,1
656,Royal Crown,23-Feb-21,0,0,350000,00:00 (00:00),Meerkat Games Corporation,LINE Games Corporation,2
657,Prison Simulator: Prologue,20-May-21,0,0,350000,00:00 (00:00),Baked Games S.A.,"Baked Games S.A., PlayWay S.A.",5
660,Gladio and Glory,16-Mar-21,0,0,350000,00:00 (00:00),Adi Zhavo,Adi Zhavo,3
661,Idle Big Devil,3-Nov-21,0,0,350000,00:00 (00:00),"HONG KONG SPARK SOFTWARE TECHNOLOGY CO., LIMITED","HONG KONG SPARK SOFTWARE TECHNOLOGY CO., LIMITED",11
663,Cloud Climber,14-Jan-21,0,0,350000,00:00 (00:00),Two Star Games,Two Star Games,1
664,Word Game: Episode 0,14-Jan-21,0,0,350000,00:00 (00:00),Team9,Team9,1
